observationID,mediaID,observationType,cameraSetupType,taxonID,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
07840dcc-0d99-4ab4-973b-7e4a8e20b56d_1,07840dcc-0d99-4ab4-973b-7e4a8e20b56d,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,human,Peter Desmet,,,,
401386c7-cc7a-46e5-9160-48c6158624a3_1,401386c7-cc7a-46e5-9160-48c6158624a3,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,human,Peter Desmet,,,,
ca3ff293-89a4-425d-a853-5572837c5b83_1,ca3ff293-89a4-425d-a853-5572837c5b83,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,human,Peter Desmet,,,,
e8b8e44c-491c-45d2-8928-aa5996c07584_1,e8b8e44c-491c-45d2-8928-aa5996c07584,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,human,Peter Desmet,,,,
b8690a15-652a-4f08-9562-1797671410b8_1,b8690a15-652a-4f08-9562-1797671410b8,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,human,Peter Desmet,,,,
64734615-ccaf-4c48-b63e-d7b07bdc6d39_1,64734615-ccaf-4c48-b63e-d7b07bdc6d39,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,human,Peter Desmet,,,,
12ce5004-9427-41ff-bcba-99b09c716e81_1,12ce5004-9427-41ff-bcba-99b09c716e81,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,human,Peter Desmet,,,,
f372acaf-1d46-4244-8edf-5f804da1e092_1,f372acaf-1d46-4244-8edf-5f804da1e092,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,human,Peter Desmet,,,,
97140835-6245-4adb-b84d-af09045389cf_1,97140835-6245-4adb-b84d-af09045389cf,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,human,Peter Desmet,,,,
d1326349-76fd-4e83-a20c-a7994e4c0da2_1,d1326349-76fd-4e83-a20c-a7994e4c0da2,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,human,Peter Desmet,,,,
017e3d07-3e6c-45a2-adbd-e7308c74f656_1,017e3d07-3e6c-45a2-adbd-e7308c74f656,animal,,DGP6,Anas platyrhynchos,2,adult,female,,,,,human,Peter Desmet,,,,
e82ea167-73a2-4cd3-a819-9d94a206a75f_1,e82ea167-73a2-4cd3-a819-9d94a206a75f,animal,,DGP6,Anas platyrhynchos,2,adult,female,,,,,human,Peter Desmet,,,,
8aab9351-ccf3-499a-bf1a-8f98a3957b0f_1,8aab9351-ccf3-499a-bf1a-8f98a3957b0f,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,human,Peter Desmet,,,,
dd543fc8-8bf8-4a85-a026-1469367cb7f8_1,dd543fc8-8bf8-4a85-a026-1469367cb7f8,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,human,Peter Desmet,,,,
6affb228-efd9-4327-acbf-fdc5cf8c8816_1,6affb228-efd9-4327-acbf-fdc5cf8c8816,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,human,Peter Desmet,,,,
ef3afb3b-b922-4347-ad0d-125c20c3d822_1,ef3afb3b-b922-4347-ad0d-125c20c3d822,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,human,Peter Desmet,,,,
29aef5c3-20a6-4701-9027-8b04c620cda0_1,29aef5c3-20a6-4701-9027-8b04c620cda0,blank,,,,,,,,,,,human,Peter Desmet,,,,
200e99c0-692e-46f2-aa44-7f7dc599757a_1,200e99c0-692e-46f2-aa44-7f7dc599757a,blank,,,,,,,,,,,human,Peter Desmet,,,,
