observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,taxonID,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
705e6036-aa3d-487c-a184-cf951747d8cb,00a2c20d-f038-490c-9b3f-7e32abfa0be7,,4bb69c45-f6e5-4988-966a-6f7a8eac1117,2020-05-30T02:57:37Z,2020-05-30T02:57:44Z,event,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,,,,,,human,Danny Van der beeck,2020-07-09T09:39:52Z,,,
07840dcc-0d99-4ab4-973b-7e4a8e20b56d_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,07840dcc-0d99-4ab4-973b-7e4a8e20b56d,4bb69c45-f6e5-4988-966a-6f7a8eac1117,2020-05-30T02:57:37Z,2020-05-30T02:57:37Z,media,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,,,,,,human,Peter Desmet,,,,
401386c7-cc7a-46e5-9160-48c6158624a3_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,401386c7-cc7a-46e5-9160-48c6158624a3,4bb69c45-f6e5-4988-966a-6f7a8eac1117,2020-05-30T02:57:40Z,2020-05-30T02:57:40Z,media,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,,,,,,human,Peter Desmet,,,,
ca3ff293-89a4-425d-a853-5572837c5b83_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,ca3ff293-89a4-425d-a853-5572837c5b83,4bb69c45-f6e5-4988-966a-6f7a8eac1117,2020-05-30T02:57:40Z,2020-05-30T02:57:40Z,media,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,,,,,,human,Peter Desmet,,,,
b8690a15-652a-4f08-9562-1797671410b8_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,b8690a15-652a-4f08-9562-1797671410b8,4bb69c45-f6e5-4988-966a-6f7a8eac1117,2020-05-30T02:57:41Z,2020-05-30T02:57:41Z,media,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,,,,,,human,Peter Desmet,,,,
e8b8e44c-491c-45d2-8928-aa5996c07584_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,e8b8e44c-491c-45d2-8928-aa5996c07584,4bb69c45-f6e5-4988-966a-6f7a8eac1117,2020-05-30T02:57:41Z,2020-05-30T02:57:41Z,media,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,,,,,,human,Peter Desmet,,,,
64734615-ccaf-4c48-b63e-d7b07bdc6d39_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,64734615-ccaf-4c48-b63e-d7b07bdc6d39,4bb69c45-f6e5-4988-966a-6f7a8eac1117,2020-05-30T02:57:42Z,2020-05-30T02:57:42Z,media,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,,,,,,human,Peter Desmet,,,,
12ce5004-9427-41ff-bcba-99b09c716e81_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,12ce5004-9427-41ff-bcba-99b09c716e81,4bb69c45-f6e5-4988-966a-6f7a8eac1117,2020-05-30T02:57:43Z,2020-05-30T02:57:43Z,media,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,,,,,,human,Peter Desmet,,,,
f372acaf-1d46-4244-8edf-5f804da1e092_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,f372acaf-1d46-4244-8edf-5f804da1e092,4bb69c45-f6e5-4988-966a-6f7a8eac1117,2020-05-30T02:57:43Z,2020-05-30T02:57:43Z,media,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,,,,,,human,Peter Desmet,,,,
97140835-6245-4adb-b84d-af09045389cf_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,97140835-6245-4adb-b84d-af09045389cf,4bb69c45-f6e5-4988-966a-6f7a8eac1117,2020-05-30T02:57:44Z,2020-05-30T02:57:44Z,media,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,,,,,,human,Peter Desmet,,,,
d1326349-76fd-4e83-a20c-a7994e4c0da2_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,d1326349-76fd-4e83-a20c-a7994e4c0da2,4bb69c45-f6e5-4988-966a-6f7a8eac1117,2020-05-30T02:57:44Z,2020-05-30T02:57:44Z,media,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,,,,,,human,Peter Desmet,,,,
1fcdba64-14d2-490e-9afe-8503a78a8b47,00a2c20d-f038-490c-9b3f-7e32abfa0be7,,f99bfff4-07d0-485b-a390-7cf04434c5cb,2020-05-31T04:05:10Z,2020-05-31T04:05:16Z,event,animal,,DGP6,Anas platyrhynchos,2,adult,female,,,,,,,,,,human,Danny Van der beeck,2020-07-09T09:40:44Z,,,
017e3d07-3e6c-45a2-adbd-e7308c74f656_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,017e3d07-3e6c-45a2-adbd-e7308c74f656,f99bfff4-07d0-485b-a390-7cf04434c5cb,2020-05-31T04:05:10Z,2020-05-31T04:05:10Z,media,animal,,DGP6,Anas platyrhynchos,2,adult,female,,,,,,,,,,human,Peter Desmet,,,,
8aab9351-ccf3-499a-bf1a-8f98a3957b0f_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,8aab9351-ccf3-499a-bf1a-8f98a3957b0f,f99bfff4-07d0-485b-a390-7cf04434c5cb,2020-05-31T04:05:11Z,2020-05-31T04:05:11Z,media,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,,,,,,human,Peter Desmet,,,,
e82ea167-73a2-4cd3-a819-9d94a206a75f_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,e82ea167-73a2-4cd3-a819-9d94a206a75f,f99bfff4-07d0-485b-a390-7cf04434c5cb,2020-05-31T04:05:11Z,2020-05-31T04:05:11Z,media,animal,,DGP6,Anas platyrhynchos,2,adult,female,,,,,,,,,,human,Peter Desmet,,,,
dd543fc8-8bf8-4a85-a026-1469367cb7f8_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,dd543fc8-8bf8-4a85-a026-1469367cb7f8,f99bfff4-07d0-485b-a390-7cf04434c5cb,2020-05-31T04:05:12Z,2020-05-31T04:05:12Z,media,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,,,,,,human,Peter Desmet,,,,
6affb228-efd9-4327-acbf-fdc5cf8c8816_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,6affb228-efd9-4327-acbf-fdc5cf8c8816,f99bfff4-07d0-485b-a390-7cf04434c5cb,2020-05-31T04:05:13Z,2020-05-31T04:05:13Z,media,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,,,,,,human,Peter Desmet,,,,
ef3afb3b-b922-4347-ad0d-125c20c3d822_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,ef3afb3b-b922-4347-ad0d-125c20c3d822,f99bfff4-07d0-485b-a390-7cf04434c5cb,2020-05-31T04:05:13Z,2020-05-31T04:05:13Z,media,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,,,,,,human,Peter Desmet,,,,
200e99c0-692e-46f2-aa44-7f7dc599757a_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,200e99c0-692e-46f2-aa44-7f7dc599757a,f99bfff4-07d0-485b-a390-7cf04434c5cb,2020-05-31T04:05:14Z,2020-05-31T04:05:14Z,media,blank,,,,,,,,,,,,,,,,human,Peter Desmet,,,,
29aef5c3-20a6-4701-9027-8b04c620cda0_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,29aef5c3-20a6-4701-9027-8b04c620cda0,f99bfff4-07d0-485b-a390-7cf04434c5cb,2020-05-31T04:05:14Z,2020-05-31T04:05:14Z,media,blank,,,,,,,,,,,,,,,,human,Peter Desmet,,,,
97b70ded-6f6b-480c-b386-b6d11f045907_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,97b70ded-6f6b-480c-b386-b6d11f045907,f99bfff4-07d0-485b-a390-7cf04434c5cb,2020-05-31T04:05:15Z,2020-05-31T04:05:15Z,media,blank,,,,,,,,,,,,,,,,human,Peter Desmet,,,,
bbd0d520-665a-48f0-8c3a-f176b1d52076_1,00a2c20d-f038-490c-9b3f-7e32abfa0be7,bbd0d520-665a-48f0-8c3a-f176b1d52076,f99bfff4-07d0-485b-a390-7cf04434c5cb,2020-05-31T04:05:16Z,2020-05-31T04:05:16Z,media,animal,,DGP6,Anas platyrhynchos,1,adult,female,,,,,,,,,,human,Peter Desmet,,,,
